course_id,name,slug,description,course_status,workload,start_date,primary_languages,subtitle_languages,certificates,partner_ids,partner_count,photo_url,preview_link,is_georestricted,extracted_at
l31la3mKEe-zFg7heHyXOQ,Getting started with the Vertex AI Gemini 1.5 Pro Model,googlecloud-getting-started-with-the-vertex-ai-gemini-1-5-pro-model-i43mr,"This is a self-paced lab that takes place in the Google Cloud console. This lab will provide an introductory, hands-on experience with Generative AI on Google Cloud.",launched,1 hour 30 minutes,1727880158838,en,,VerifiedCert,443,1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/c5/e1dc34a146454fad3d65ce2304cb2b/Logo-Image_GC-Projects.png,,False,2026-05-06T11:05:54.093829Z
OK4S2mhbEfCCGA7lN4veKQ,SPSS: Apply & Interpret Logistic Regression Models,spss-apply-interpret-logistic-regression-models,"This course provides a practical and applied introduction to logistic regression and supervised learning using IBM SPSS Statistics. Designed for learners seeking to build analytical skills in predictive modeling, the course emphasizes both conceptual understanding and tool-based execution.

Through step-by-step instruction, learners will identify key components of logistic regression, configure data within SPSS, and construct predictive models using real-world case studies. They will analyze mod",launched,,1756759545501,en,"hu, kk",VerifiedCert,1501,1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/d1/fd55d3a86f4d5f9e73a174fc22955b/160.1.jpg,,False,2026-05-06T11:05:54.093878Z
mukrVoSKEe-L8RKezlgehQ,Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,googlecloud-securing-compute-engine-applications-and-resources-using-chrom-or1ml,This is a self-paced lab that takes place in the Google Cloud console. Learn how to secure a Compute Engine instance with Identity-Aware Proxy (IAP).,launched,1 hour 30 minutes,1728544390906,en,,VerifiedCert,443,1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/8f/7d0162fcc7497f8fd420f0bcca6271/Logo-Image_GC-Projects.png,,False,2026-05-06T11:05:54.093889Z
DMkcgX7LEeyRTg6FtAvfBw,Intégrer des applications dans votre Dashboard Hootsuite,integrer-applications-dashboard-hootsuite,"À la fin de ce projet, vous aurez toutes les compétences de base pour intégrer des applications dans votre Dashboard Hootsuite. Vous serez en mesure de découvrir les différents types d’applications que vous pouvez installer et vous pourrez les intégrer facilement et rapidement à votre tableau de bord sur Hootsuite.",launched,2 heures,1644614698077,fr,,VerifiedCert,1342,1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/17/30c95fc33c45898c483de82f07f838/Diseno-sin-titulo-18-.png,,False,2026-05-06T11:05:54.093896Z
ecoAPNowEe22LAo38arT7w,Overcoming  Challenges in Self and Society,overcoming-challenges-in-self-and-society,"This course is an personal development and academic voyage that delves into the heart of human endurance and societal fortitude. It embarks on an exploratory mission to dissect the essence of adversity, weaving through personal, societal, and environmental intricacies. Learners will cultivate a nuanced understanding of resilience as a dynamic force and its transformative impact on the self and society.

Distinguished by its interdisciplinary framework, the course fuses elements of psychology, so",launched,"4 weeks of study, 2-4 hours a week",1702509945947,en,"fa, ps","VerifiedCert, Specialization",126,1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/2c/c4d6db09c343c3a765e1e924cac735/Overcoming-Challenges-in-Self-and-Society.png,,False,2026-05-06T11:05:54.093918Z
YLO0oGSUEeyIUg4Qv2RsBQ,كيفية استعمال التطبيق هووتسويت,getting-started-with-hootsuite-ar,"ينشئ العديد من الأشخاص حسابات وسائط اجتماعية متعددة ويجدون لاحقا أنه من الصعب جدا تحديث ملفاتهم الشخصية على جميع المواقع.
ولذلك ستكون هذه الدورة التدريبية عبارة عن دراسة تمهيدية عن التطبيق هووتسويت، حيث سنتعرف على كيفية إنشاء حساب مجاني، كما سنتعلم كيفية استخدام موقع هووتسويت وطبيعته وميزاته المتقدمة.

في نهاية هذه الدورة ستكون قادرا على إنشاء حسابا مجانيا وستكون لديك دراية شاملة على الواجهة الإلكترونية لهووتسويت ومميزات وخصائص هذا التطبيق.

في هذا المشروع، سنقدم لك مراجعة تفصيلية للميزات الي يق",launched,2 hours,1642193091376,ar,,VerifiedCert,1342,1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/ee/6ed4d5ada045cbadd3e6c58de2cd95/Untitled-design.png,,False,2026-05-06T11:05:54.093925Z
69Bku0KoEeWZtA4u62x6lQ,Gamification,gamification,"Gamification is the application of game elements and digital game design techniques to non-game problems, such as business and social impact challenges. This course will teach you the mechanisms of gamification, why it has such tremendous potential, and how to use it effectively. For additional information on the concepts described in the course, you can purchase Professor Werbach's book For the Win: How Game Thinking Can Revolutionize Your Business in print or ebook format in several languages.",launched,4-8 hours/week,1447095621493,en,"ar, fr, bn, uk, zh-CN, el, it, pt-BR, vi, nl, ko, de, ps, ur, ru, th, id, sv, tr, az, es, hi, ja, kk, fa, hu, pl",VerifiedCert,6,1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/gamification/large-icon.png,,False,2026-05-06T11:05:54.093945Z
hOzhxVNuEfCW8Q55q1kSNQ,CompTIA Cybersecurity Analyst (CySA+) CS0-003: Unit 2,pearson-comptia-cybersecurity-analyst-cysa-cs0-003-video-course-2-jt58z,"This course is meticulously designed for cybersecurity professionals eager to enhance their skills in identifying, analyzing, and mitigating vulnerabilities. Through hands-on lessons, you'll gain the expertise to implement effective vulnerability scanning methods, prioritize risks, and recommend strategic controls to protect against potential threats. Equip yourself with the knowledge to not only understand vulnerabilities but also to proactively defend against them, ensuring your organization's",launched,4h 30m,1753967251446,en,en,"VerifiedCert, Specialization",1842,1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/2f/5a65cb06b34a4ab850ca25f94f1ee9/PEARSON_CourseraWave02.png,,False,2026-05-06T11:05:54.093952Z
0HiU7Oe4EeWTAQ4yevf_oQ,Dealing With Missing Data,missing-data,"This course will cover the steps used in weighting sample surveys, including methods for adjusting for nonresponse and using data external to the survey for calibration.  Among the techniques discussed are adjustments using estimated response propensities, poststratification, raking, and general regression estimation.  Alternative techniques for imputing values for missing items will be discussed.  For both weighting and imputation, the capabilities of different statistical software packages wil",launched,"4 weeks of study, 1-2 hours/week",1471901099812,en,"ar, fr, bn, uk, zh-CN, el, it, pt-BR, nl, ko, de, ps, ur, ru, th, id, sv, tr, az, es, hi, ja, kk, fa, hu, pl","VerifiedCert, Specialization",32,1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/dd/8e0e60f75a11e5a5175d8aed3cf3b0/AdobeStock_83781931.jpg,,False,2026-05-06T11:05:54.093967Z
sI_-QEBiEemtDRLx7Ne8jg,Unordered Data Structures,cs-fundamentals-3,"The Unordered Data Structures course covers the data structures and algorithms needed to implement hash tables, disjoint sets and graphs. These fundamental data structures are useful for unordered data. For example, a hash table provides immediate access to data indexed by an arbitrary key value, that could be a number (such as a memory address for cached memory), a URL (such as for a web cache) or a dictionary. Graphs are used to represent relationships between items, and this course covers sev",launched,,1556553708843,en,"ar, fr, bn, uk, zh-CN, el, it, pt-BR, vi, nl, ko, de, ps, ur, ru, th, id, sv, tr, az, es, hi, ja, kk, fa, hu, pl","VerifiedCert, Specialization",17,1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/c3/af0d2d2c184f819a920187eafc9563/CS400_Logo_B.jpg,,False,2026-05-06T11:05:54.093979Z
